Kategori,Judul,Isi
Wisata,"Promosikan Wisata Pantai, Pelari dari 12 Provinsi Ikuti Sunset Run","Ratusan pelari mengikuti kegiatan Sunset Run yang diadakan oleh Badan Otorita Borobudur (BOB) di The Muara Kawasan Pantai Baros, Tirtohargo, Kretek, Bantul, Sabtu (21/10/2023) sore.

Direktur Utama BOP Borobudur, Agustin Peranginangin, mengatakan, event yang digelar setiap tahun ini diikuti  kurang lebih 588 peserta.

Berasal dari 12 Provinsi yang terdiri dari Daerah Istimewa Yogyakarta (DIY), Jawa Barat, DKI Jakarta, Jawa Timur, Jawa Tengah, dan  Riau.

Sunset-Run-2.jpg

Kemudian provinsi Sumatera Utara, Nusa Tenggara Barat, Kalimantan Barat, Kalimantan Timur, Kalimantan Tengah, dan Sulawesi Selatan.

""Peserta tercatat ada 588 orang, dari 12 Provinsi do Indonesia,"" ujar dia.

Dijelaskan bahwa event ini mengusung konsep fun run yang menyediakan 2 kategori yakni lari berjarak 5000 meter atau 5K dan 10000 meter atau 10 K. Konsep Fun Run, katanya, membawa pelari berlari di waktu sore melewati Pasir Pantai sembari menikmati sunset.

""Kami menyediakan 2 kategori bagi para peserta, yakni 5K dan 10K. Dengan rute melewati pasir pantai di waktu sore. Pelari berlari ditemani Matahari senja, sambil olahraga mereka dapat menikmati sunset di sini,” tandasnya.

Sunset-Run-3.jpg

Agustin berharap event yang juga dalam rangka menyongsong Hari Ekonomi Kreatif Nasional pada 24 Oktober mendatang itu dapat mempromosikan destinasi  agar lebih dikenal oleh masyarakat luas. 

""Melalui olahraga ini harapannya kita dapat menggaet wisatawan untuk berkunjung ke objek wisata ini,"" pungkasnya. (*)"
Wisata,Nikmati Keindahan Alam Bumi Blambangan Sambil Bersantai di Kokoon Hotel Banyuwangi,"Kabupaten Banyuwangi, yang terletak di ujung timur Pulau Jawa, adalah sebuah daerah yang terkenal akan keindahan alam dan keanekaragaman budayanya. Pesona alamnya meliputi Gunung Ijen dengan keindahan api biru, matahari terbenam di Pulau Merah, Alas Purwo yang asri, dan Pantai Sukamade yang menawarkan penyu hijau. Selain alam, Banyuwangi juga kaya akan budaya dan tradisi, seperti tarian Seblang, ritual Keboan Aliyan, dan peringatan Maulid Nabi Muhammad SAW dengan endog-endogan.

Agar perjalanan Anda lebih nyaman saat menjelajahi tempat wisata dan budaya di Banyuwangi, Kokoon Hotel Banyuwangi adalah salah satu pilihan penginapan terbaik. Hotel bintang empat ini menyediakan kenyamanan sekaligus memanjakan Anda dengan keindahan alam sekitarnya.

Hotel ini memiliki lokasi yang strategis, terletak di jalan Raya Jember No.KM 7, Desa Dadapan, Kecamatan Kabat. Selain itu, Kokoon Hotel adalah bangunan tertinggi di kabupaten ujung timur Pulau Jawa, sehingga para tamu dapat menikmati pemandangan matahari terbit dan terbenam langsung dari dalam kamar sambil menikmati secangkir kopi atau teh.

Kamar-kamar yang luas dan nyaman di Kokoon Hotel menyuguhkan pemandangan indah sekitar hotel dan dilengkapi dengan fasilitas modern. Keistimewaan arsitektur hotel ini terletak pada perpaduan gaya modern dan tradisional khas Banyuwangi.

Hotel Kokoon menyediakan beragam fasilitas, termasuk restoran yang menyajikan hidangan lokal dan internasional yang lezat, kolam renang yang menyegarkan, serta layanan spa untuk relaksasi total.

Dengan lokasi yang strategis, suasana yang tenang, dan fasilitas yang lengkap, Kokoon Hotel adalah tempat yang sempurna untuk menikmati keindahan alam Banyuwangi sambil merasakan kenyamanan dan keistimewaan yang luar biasa. Dengan berbagai penawaran khusus untuk wisatawan, Kokoon Hotel menjadi pilihan yang bijak bagi mereka yang ingin menjelajahi keajaiban Banyuwangi.

Pada kesempatan ini, Hotel Kokoon Banyuwangi menawarkan promo 'Best Deal' dengan harga spesial Rp850.000 per malam. Selain itu, ada juga promo 'Sunday Great Sale' yang menawarkan harga Rp750.000 per malam khusus pada hari Minggu.

Guest Service Manager Kokoon Hotel Banyuwangi, Resti Mira Rizki, menjelaskan bahwa promo ini merupakan ungkapan terima kasih kepada para tamu setia Kokoon Hotel Banyuwangi. Tamu dapat menikmati pengalaman menginap yang tak terlupakan di hotel ini setiap harinya dan memanfaatkan penawaran menarik ini hingga November 2023.

Kokoon Hotel, dengan pemandangan spektakuler dan pelayanan yang istimewa, adalah tempat yang ideal untuk menikmati keajaiban alam Bumi Blambangan. Ini adalah destinasi sempurna bagi mereka yang ingin menikmati keindahan alam sambil bersantai dan merasakan keramahan khas Banyuwangi. Jadi, jangan ragu untuk merencanakan perjalanan Anda ke Kokoon Hotel untuk pengalaman yang tak terlupakan. (D)"
Kuliner,Malaysia Tambah Wisata Kuliner dengan Buka Street Pizza ala Gordon Ramsay,"Sunway Resort Hotel di Bandar Sunway, Subang Jaya, Malaysia mempersembahkan konsep kuliner pertama di Asia Tenggara, yaitu Gordon Ramsay's Street Pizza. Makanan ini pertama kali muncul di London pada tahun 2018 dan telah menghadirkan gebrakan kuliner yang revolusioner. Di Malaysia, Street Pizza ini berjanji untuk memberikan pengalaman kuliner yang tak terlupakan.

Apa yang membuat Street Pizza begitu istimewa? Jawabannya adalah pizza Sourdough tak terbatas. Para tamu di sini bisa menikmati pizza dengan berbagai pilihan bahan berkualitas, mulai dari yang klasik seperti Margherita hingga kreasi unik seperti pizza jagung dan chorizo yang menggoda selera.

Tidak hanya itu, para pengunjung juga dapat menikmati minuman menarik seperti craft beer dan koktail yang akan menyempurnakan pengalaman bersantap mereka. Selain itu, Street Pizza juga menyajikan hidangan pendamping yang lezat seperti sayap ayam pedas dan kentang goreng spesial.

Di Street Pizza, pengalaman bersantap tidak hanya tentang makanan, tetapi juga tentang hiburan. Para tamu dapat menikmati musik live yang menghibur sambil menikmati sajian kuliner. Selain itu, terdapat layar lebar untuk menonton pertandingan olahraga, sehingga Anda dapat merasakan euforia acara olahraga bersama teman-teman.

Untuk menjadikan pengalaman ini lebih mudah dan nyaman, Street Pizza telah menghadirkan aplikasi seluler kelas dunia yang menghubungkan para tamu dengan semua yang ditawarkan oleh restoran ini. Dengan aplikasi ini, anda dapat melakukan pemesanan, memeriksa menu, dan bahkan berinteraksi dengan sesama tamu.

Bagi para penggemar Street Pizza yang ingin membawa pulang sepotong atmosfer restoran ini, ada berbagai merchandise yang tersedia, termasuk hoodie dan topi yang stylish. Ini adalah cara sempurna untuk membawa pulang kenangan dari kunjungan Anda.

Pada kuartal ketiga tahun 2023, Street Pizza akan hadir di Sunway Pyramid, menawarkan pengalaman kuliner yang luar biasa. Lokasinya yang terintegrasi dengan Sunway Resort Hotel melalui lorong ber-AC membuat pengunjung merasa nyaman dan terjaga dari cuaca panas.

Konsep ini telah sukses di kota-kota seperti Dubai, Uni Emirat Arab, Seoul, Korea Selatan, dan Doha, Qatar. Bahkan, rencananya Street  Pizza membuka cabang baru di Washington DC tahun ini. Semua ini merupakan bagian dari visi merek untuk memiliki gerai Street Pizza di seluruh dunia.

Street Pizza ala Gordon Ramsay adalah destinasi kuliner yang tak hanya menghadirkan hidangan lezat tetapi juga pengalaman bersantap yang unik dan menghibur. ""Ini bukan hanya tentang makanan yang luar biasa, tetapi juga tentang suasana yang menyenangkan, penuh energi, dan menghibur. Ini adalah sesuatu yang akan dinikmati oleh para tamu kami,"" tutup Alex Castaldi, Senior General Manager Sunway City Kuala Lumpur Hotels, Malaysia. (*)"
Wisata,Walikota Sutiaji: Karnaval Kota Malang Kembangkan Kreativitas Bawa Pesan Perdamaian,"Karnaval Kota Malang ternyata bukan hanya untuk menghibur masyarakat di momen kemerdekaan HUT ke-78 RI. Kegiatan yang diselenggarakan, Sabtu (26/8/2023) ini, dimulai sejak pagi hari di kawasan Jalan Basuki Rahmat atau Kayutangan Heritage hingga Jalan Semeru Kota Malang.

Wali Kota Malang Sutiaji dalam sambutannya berharap, agenda ini bisa menjadi ajang pemersatu bangsa. Mengeratkan rasa kekeluargaan khususnya bagi warga Kota Malang, dan sekitarnya. 

""Hal yang paling penting adalah kebersamaan, kekeluargaan. Jangan sampai kita terpecah belah, hanya karena perbedaan,"" ujar Sutiaji, Sabtu (26/8/2023).

Ia juga mengajak masyarakat untuk bisa ikut andil dalam mendamaikan kondisi, di tengah banyaknya kejadian yang dialami. Apalagi menjelang tahun politik, kondisi masyarakat harus tetap kondusif dan bisa saling memahami. 

""Harapan kami ingin masyarakat bisa terus membangun kebersamaan, melalui kegiatan ini bisa menumbuhkan kreativitas dan rasa kebersamaan yang kuat,"" tandasnya.

Sebagai informasi, karnaval ini inisiasi dari Wali Kota Malang Sutiaji untuk menyuguhkan hiburan kepada masyarakat sembari merayakan kemerdekaan HUT ke-78 RI.

Pemkot Malang melalui Dinas Perhubungan (Dishub) Kota Malang bersama Polresta Malang Kota turut melakukan pengalihan arus lalu lintas guna memecah kemacetan akibat karnaval.

Pengalihan arus dimulai sejak pukul 05.00 WIB di kawasan Jalan Majapahir dan Jalan Besar Ijen sisi barat menjadi dua arah. Contraflow juga diberlakukan di Japan Majapahit dan Jalan Besar Ijen sisi barat.

Kantong parkir juga tersedia di Jalan Lawu, Jalan Welirang, Jalan Merapi, Jalan Retawu, Wilis, Stadion Gajayana, Gedung Kartini, Jalan Tangkuban Perahu, Jalan Bromo dan Jalan Arjuno.

Kemudian, di sepanjang Jalan Basuki Rahmat atau Kayutangan Heritage steril dari parkir. (*)"
Hukum dan Kriminal,Polres Jombang Bongkar Peredaran Ganja Melalui Jasa Pengiriman Barang,"Polres Jombang melalui Tim Satresnarkoba berhasil membongkar peredaran narkoba yang memanfaatkan jasa ekspedisi di wilayah Kabupaten Jombang.

Dalam pengungkapan kasus ini, Polres Jombang awalnya mendapatkan informasi adanya pengiriman barang diduga narkotika melalui jalur ekspedisi.

Pelaku disergap setelah mengambil paket ganja kering dari salah satu ekspedisi pengiriman barang di Jombang.

Dari pengungkapan tersebut satu orang ditangkap. Adapun pelaku yang kini sudah ditetapkan sebagai tersangka bernama Muhammad Fery Darmawan (22) warga Desa Gondek, Kecamatan Mojowarno, Kabupaten Jombang.

Polres-Jombang-2.jpg

Kasatresnarkoba Polres Jombang AKP Komar Sasmito mengatakan dalam kasus itu, pihaknya menyita daun ganja kering yang dikemas dalam ban bekas.

""Kami amankan barang bukti narkoba jenis ganja seberat 310,22 gram,"" ujar AKP Komar kepada TIMES Indonesia, Selasa (7/11/2023).

Diketahui, paket ganja tersebut ditujukan kepada Fery. Polisi pun menunggu Fery mengambil, lalu menangkapnya saat di rumahnya pada Selasa 31 Oktober 2023 pukul 14.30 WIB. 

""Dari hasil keterangannya bahwa barang bukti tersebut didapat dari hasil pengiriman melalui ekspedisi antarpulau,"" katanya. 

Dari hasil penyelidikan, pemuda lulusan SMK di Jombang ini mengaku sudah tiga kali melakukan menerima paket narkotika jenis ganja melalui jalur ekspedisi. 

""Pengakuan tersangka sudah 3 kali ini, modusnya barang dikemas dalam ban bekas. Tersangka juga mengaku untuk dikonsumsi sendiri,"" katanya. 

Polres-Jombang-3.jpg

Lebih lanjut AKP Komar menambahkan, penyidik masih terus mendalami pengungkapan kasus itu. Pendalaman yang dimaksud yakni mengungkap pelaku yang mengirim barang haram tersebut. 

""Kasusnya masih kami kembangkan dan tersangka kami tahan dengan sangkaan asal 111 ayat (1) UU RI No. 35 tahun 2009 Tentang Narkotika."" kata AKP Komar menandaskan. 

Sementara itu, Kapolres Jombang, AKBP Eko Bagus Riyadi memberikan apresiasi atas pengungkapan kasus peredaran narkoba yang dilakukan oleh anggotanya tersebut.

Ia mengingatkan kepada masyarakat untuk menjauhi narkoba jenis apapun. Ia juga mengajak memerangi narkoba di Kabupaten Jombang dengan memberikan informasi kepada kepolisian tentang pelakunya guna untuk menyelamatkan generasi bangsa.

""Sudah waktunya untuk berhenti memakai dan mengedarkan narkoba. Mari perangi dan berantas narkoba di Kota Santri ini. Sekecil apapun informasi tentang narkoba akan ditelusuri dan kembangkan. Apabila tertangkap, pelaku narkoba akan ditindak tegas sesuai aturan hukum yang berlaku,"" ujarnya. (*)"
Kesehatan,"Cegah Peningkatan Kasus, Pemkab Pacitan Lakukan Audit Stunting","Tidak ingin terus bertambah, Pemkab Pacitan kali ini kembali melakukan audit kasus stunting. Dan ini merupakan kegiatan untuk mencari penyebab terjadinya kasus stunting sebagai upaya pencegahan terjadinya kasus serupa. 

Audit Kasus Stunting dilaksanakan dalam bentuk pertemuan oleh Tim percepatan penurunan Stunting (TPPS) Kabupaten Pacitan berdasarkan laporan dari TPPS Kecamatan maupun TPPS Desa. 

Dibuka Wakil Bupati Pacitan Gagarin, audit diikuti oleh perangkat daerah pengampu stunting, TPPS, TP PKK, organisasi wanita, kepala puskesmas, camat, kades lokus stunting 2023-2024, tim audit kasus stunting, penyuluh KB, TPK dan satgas stunting.

""Semoga dengan audit stunting ini dapat mencegah kasus stunting di Kabupaten Pacitan,"" kata Wabup Pacitan Gagarin di Pendopo, Rabu (5/7/2023).

Dalam kesempatan yang sama, Asisten Administrasi Umum Setda Pacitan Deni Cahyantoro dalam laporannya mengemukakan, bahwa mencegah stunting dibutuhkan dukungan dan bantuan semua pihak. 

""Mulai dari individu, calon pengantin, ibu hamil, ibu nifas, baduta dan balita,"" terangnya. 

Menurutnya, audit kasus stunting juga bertujuan untuk menemukan atau mengetahui resiko potensial penyebab langsung terjadinya stunting. 

""Alhamdulillah, sesuai hasil survey pada tahun 2022 prevalensi stunting di Kabupaten Pacitan turun dari 22,7 persen menjadi 20,6 persen,"" ujar Deni. 

Sebagai informasi, tahun 2023 ini daerah lokus stunting berada di 5 kecamatan 10 desa. Sedangkan target Pemkab Pacitan tahun 2024 mendatang lebih diarahkan di 7 kecamatan 13 desa. (*)"
Tekno,Google Genesis: Teknologi AI untuk Permudah Kerja Jurnalis Menulis Berita,"Beberapa bulan setelah TIMES Indonesia Group membuat platform untuk TI Network AI, media AI pertama di Indonesia, Google menyusul mengenalkan Genesis. Platform ini diyakini Google dapat merevolusi cara kita memproduksi dan mengonsumsi berita.

Teknologi berbasis AI ini diklaim dapat mengambil detail peristiwa terkini dan mengubahnya menjadi salinan berita. Apakah AI dapat dan seharusnya menjadi penghasil berita?

Google Genesis: Asisten AI untuk Jurnalis
Google percaya bahwa Genesis dapat berfungsi sebagai asisten pribadi bagi jurnalis. Seorang sumber yang akrab dengan produk ini menjelaskan bahwa Genesis dirancang untuk mengotomatiskan beberapa tugas yang membebaskan waktu bagi jurnalis untuk berfokus pada aspek lain dari pekerjaan mereka. Hal ini dapat membantu mendorong industri penerbitan menjauh dari ""jebakan generatif AI"".

Namun, beberapa eksekutif perusahaan yang telah melihat promosi Google untuk produk ini menggambarkannya sebagai teknologi yang mengkhawatirkan. Sementara beberapa upaya telah dilakukan untuk memastikan berita yang dihasilkan oleh Genesis akurat dan kaya nuansa, masih ada keraguan tentang sejauh mana teknologi ini dapat mencapai tujuan tersebut.

Perlukah Jurnalis Gunakan Alat Berbasis AI?
Berdasarkan pendapat Jeff Jarvis, seorang profesor jurnalisme dan komentator media, alat baru Google ini memiliki potensi kelebihan dan kekurangan. Jika teknologi ini dapat menghasilkan informasi faktual yang dapat diandalkan, jurnalis sebaiknya memanfaatkannya.

Namun, jika alat ini disalahgunakan dalam konteks yang memerlukan pemahaman budaya yang mendalam, hal ini dapat merusak kredibilitas organisasi berita yang menggunakannya.

Saat ini, organisasi berita di seluruh dunia sedang berusaha memutuskan apakah mereka harus menggunakan alat berbasis AI di ruang redaksi mereka. Organisasi seperti The New York Times, NPR, dan Insider telah mengumumkan rencana untuk mengeksplorasi kemungkinan penggunaan AI.

Implikasi dan Tantangan bagi Jurnalisme
Meski demikian, alat baru Google ini pasti memicu kecemasan di kalangan jurnalis yang telah menulis artikel mereka sendiri selama berabad-abad. Beberapa organisasi berita, seperti Associated Press, telah lama menggunakan AI untuk menghasilkan cerita tentang laporan pendapatan perusahaan dan topik lainnya.

Namun, ini masih merupakan bagian kecil dari artikel layanan dibandingkan dengan yang dihasilkan oleh jurnalis manusia.

Penggunaan kecerdasan buatan di dunia jurnalisme bisa memiliki konsekuensi besar. Jika tidak diedit dan diperiksa dengan hati-hati, AI dapat menyebarkan informasi yang salah dan merusak reputasi organisasi berita.

Google telah bergerak cepat dalam mengembangkan dan menyebarkan AI generatif, tetapi teknologi ini juga menimbulkan tantangan. Contoh yang jelas adalah chatbot Bard, yang dikritik karena seringkali memberikan pernyataan faktual yang salah dan tidak mengarahkan pengguna ke sumber yang lebih otoritatif.

Sejauh ini, penggunaan AI dalam jurnalisme masih menjadi topik yang hangat. Meski demikian, seperti teknologi lainnya, AI memiliki potensi untuk membawa manfaat besar jika digunakan dengan bijaksana dan bertanggung jawab. (*)"
Peristiwa Internasional,Jatim Raih Penghargaan Provinsi Peduli Perlindungan Konsumen 2023 Kemendag RI,"Pemprov Jatim kembali menorehkan prestasi di tingkat nasional, dengan berhasil meraih penghargaan sebagai Pemerintah Daerah Provinsi Peduli Perlindungan Konsumen Tahun 2023 pada acara Penganugerahan Penghargaan Perlindungan Konsumen dan Tertib Niaga oleh Kementerian Perdagangan RI  di Bandung, Jumat (10/11/2023).

Penghargaan berupa piala dan piagam tersebut diserahkan langsung oleh Menteri Perdagangan RI Zulkifli Hasan kepada Kepala Dinas Perindustrian dan Perdagangan Jatim Iwan yang mewakili Gubernur Jatim Khofifah Indar Parawansa. 

Sebagai informasi, penghargaan ini diberikan kepada Pemprov Jatim karena nilai Indeks Keberdayaan Konsumen (IKK) Jatim Tahun 2022 mencapai 55,40 yang berada diatas IKK Nasional 53,23 dengan kategori MAMPU.

Artinya, konsumen di Jatim telah mampu menggunakan hak dan kewajiban konsumen untuk menentukan pilihan terbaik termasuk menggunakan produk dalam negeri bagi diri dan lingkungannya.

Secara khusus, Gubernur Khofifah menyampaikan apresiasi dan mengaku bersyukur karena penghargaan ini menjadi kado istimewa tepat pada peringatan Hari Pahlawan. Menurutnya, ini menjadi bukti bahwa Pemprov Jatim berhasil menjaga komitmen untuk peduli terhadap  konsumen.

""Alhamdulillah, Pemprov Jatim kembali menerima penghargaan sebagai Pemerintah Daerah Provinsi Peduli Perlindungan Konsumen tahun ini, sekaligus menjadi kado spesial di Hari Pahlawan. Tentunya, ini juga menjadi bukti komitmen kami untuk terus memberikan perlindungan kepada para konsumen di Jatim,"" ujar Khofifah di Surabaya, Selasa (14/11/2023).

Khofifah menambahkan, penghargaan ini juga menjadi suntikan semangat bagi Pemprov Jatim untuk terus mendorong berbagai kegiatan pemberdayaan konsumen. Sehingga konsumen dapat menentukan pilihan terbaik saat melakukan transaksi perdagangan dan berani bersuara apabila haknya tidak terpenuhi dengan baik.

""Penghargaan ini menjadi penguat   bagi Pemprov Jatim untuk terus secara aktif mendorong perjuangan hak konsumen disertai dengan berbagai kegiatan pemberdayaan konsumen,"" terangnya.

Upaya perlindungan konsumen tersebut, lanjut Khofifah, salah satunya dengan adanya Unit Pelaksana Teknis Perlindungan Konsumen (UPT PK) yang telah diatur pada Pergub No. 60 tahun 2018. UPT PK ini berperan aktif dan tersebar di 5 Kabupaten/Kota di Jawa Timur. Yaitu, Surabaya, Malang, Kediri, Bojonegoro, dan Jember.

UPT PK tersebut bertugas melakukan pengawasan barang beredar, jasa dan tertib niaga, pemberdayaan konsumen dan pelaku usaha, ketatausahaan serta pelayanan masyarakat. 

""Pada Tahun 2023 semester I Pemerintah Provinsi Jawa Timur telah melakukan pembinaan tertib niaga pada 1.768 orang,"" tegasnya.

Pembentukan UPT PK, terang Khofifah, diikuti dengan pembentukan Badan Penyelesaian Sengketa Konsumen (BPSK) di Jatim. Keberadaan BPSK sebagai upaya menyelesaikan sengketa yang mungkin terjadi antara konsumen dan pelaku usaha. Beberapa cara yang dilakukan antara lain mediasi, konsiliasi, dan arbitrase.

Khofifah melanjutkan, Pemprov Jatim juga terus mendorong berbagai kegiatan standarisasi dan pengendalian mutu, melakukan pengawasan terhadap barang beredar atau jasa.

Berdasarkan data yang ada, Pemprov Jatim lewat Disperindag Jatim telah memfasilitasi Standarisasi dan KI sejumlah 1.078 IKM/ Produk. Selanjutnya, juga melakukan pengendalian mutu dengan menerbitkan 1.839 Sertifikat Mutu Barang. Serta, melakukan pengawasan terhadap barang beredar di 512,070 unit, 

Bahkan sebagai ikhtiar memberikan perlindungan produk halal bagi konsumen, Gubernur Khofifah terus mendorong keberadaan Juru Sembelih Halal (Juleha) dan rumah potong hewan (RPH) halal. Salah satunya, dengan aktif melakukan pelatihan bagi Juleha, dan melakukan  pendampingan untuk pengajuan sertifikasi halal bagi RPH.

""Semoga berbagai ikhtiar yang dilakukan Pemprov Jatim ini, bisa meningkatkan nilai Indeks Keberdayaan Konsumen. Sehingga, konsumen-konsumen di Jatim bisa semakin terlindungi,"" pungkasnya.(*)"
Hukum dan Kriminal,"Polres Cilacap Tangkap Dukun Cabul, Korban Capai Belasan Perempuan","Satreskrim Polresta Cilacap meringkus S (42), warga Desa Pekuncen, Kecamatan Kroya, Cilacap karena ketahuan bertindak cabul terhadap 10 perempuan berusia 25-40 tahun. 

Wakapolresta Cilacap AKBP Dr Arief Fajar Satria mengatakan, awalnya korban dijanjikan oleh tersangka bisa menyembuhkan penyakit, namun dengan syarat korban harus melakukan perbuatan sesuai kemauan sang dukun termasuk berhubungan badan. 

""Dari 10 korban perempuan itu, pelaku mengajak berhubungan badan berkali-kali. Bahkan, ada yang sampai 23 kali,"" kata Arief. 

Wakapolresta menambahkan, sebelum berhubungan badan, korban diminta berhubungan sesama jenis dengan suruhan pelaku (asisten), dan menggunakan alat. ""Selanjutnya, aksi tersebut direkam dan dikirim ke pelaku,"" tandas Arief. 

Selain mengamankan pelaku, polisi juga mengamankan barang bukti yang digunakan untuk praktik perdukunan, seperti kendi minuman, keris, aneka minyak wangi, tongkat, alat vibrator seks, dan sejumlah perlengkapan perdukunan lainnya. 

Wakapolres menekankan, pelaku sudah melakukan aksinya sejak tahun 2021. Bahkan, bukan hanya korban perempuan saja tapi ada juga korban laki-laki, yang saat ini masih dikembangkan penyelidikannya oleh polisi. 

Pasal 6 C Undang-Undang Nomor 12 Tahun 2022 tentang Tindak Pidana Kekerasan Seksual akan menjerat pelaku. ""Tersangka diancam pidana penjara paling lama 12 tahun dan atau denda paling banyak Rp 300 juta,"" kata AKBP Dr Arief Fajar Satria, Wakapolresta Cilacap. (*)"
Hukum dan Kriminal,"Ambil Paket Berisi 2 Kilogram Ganja di Kantor Ekspedisi, Dua Pria Ditangkap di Blitar","Polres Blitar Kota berhasil mengungkap peredaran ganja melalui jasa ekspedisi. Barang bukti yang diamankan adalah ganja kering dengan berat hampir 2 kilogram. 

Pengungkapan peredaran ganja melalui jasa ekspedisi itu diungkap Satuan Reserse Narkoba Polres Blitar Kota. Dua orang pria diamankan dalam pengungkapan tersebut. Keduanya adalah AW (29) dan S (38) yang merupakan  warga Kabupaten Lamongan. 

Keduanya diamankan usai mengambil paket berisi ganja dari  sebuah kantor ekspedisi di Jalan Ir Soekarno Kota Blitar. 

Kasat Narkoba Polres Blitar Kota AKP Wardi Waluyo mengatakan,  total berat  paket ganja tersebut adalah 1.850 gram atau 1,85 kilogram. Paket ganja itu, kata dia, berasal dari wilayah Jawa Barat dan memiliki nominal hingga Rp 125 juta. 

""Kita mendapatkan informasi bahwa ada pengiriman barang dari Jawa Barat. Daerahnya mana tidak bisa kami sebutkan karena berkaitan dengan penyidikan,"" tuturnya, Jumat (29/9/2023).

Usai mendapatkan informasi adanya pengiriman paket ganja, pihaknya langsung melakukan penyelidikan. Paket ganja itu telah terendus pihak kepolisian sejak dikirim hingga posisinya sampai di beberapa gudang ekspedisi di Jawa Timur. 

""Kita lakukan penyelidikan sampai Surabaya sampai Malang kemudian hari ketiga sudah ada di Blitar di sebuah jasa ekspedisi,"" imbuhnya. 

Dia menjelaskan, dua orang yang diamankan satu berperan sebagai pengambil satunya lagi berperan mengawasi keadaan dari atas motor. 

Sebelum membawa paket ganja kabur, kedua pelaku berhasil diamankan polisi. Keduanya diamankan di pinggir jalan usai mengambil paket ganja. Paket itu langsung dibongkar di depan kedua pelaku sehingga membuat keduanya tak bisa berkutik. 

""Penerima kita amankan, setelah  kita buka ternyata isinya adalah ganja kering,""  papar Wardi.

Dalam proses penyelidikan, keduanya mengaku hanya sebagai kurir. Dengan imbalan Rp 1 juta untuk proses operasional. 

""Saat ini kami masih mendalami siapa yang meminta mereka mengambil paket itu. Masih kita dalami untuk upaya pengungkapan yang lebih besar lagi,"" jelasnya."
